percentage,concepts,secs
35.0,2,112.18
29.0,5,338.96
23.0,3,287.3
32.0,7,371.55
26.0,9,653.44
43.0,4,345.37
25.0,6,559.93
25.0,10,368.99
46.0,2,143.26
44.0,11,129.87
44.0,3,201.48
10.0,8,202.94
18.0,5,418.12
22.0,16,438.38
19.0,34,886.3
29.0,6,364.88
10.0,60,129.56
17.0,25,78.06
45.0,3,95.3
23.0,16,252.9
18.0,8,249.88
36.0,16,173.96
45.0,10,275.2
36.0,21,238.65
38.0,10,163.9
41.0,12,113.23
31.0,19,265.0
50.0,6,94.65
1.0,41,25.88
28.0,19,183.27
21.0,18,221.63
26.0,14,168.85
30.0,10,226.98
28.0,15,365.39
32.0,14,170.89
17.0,17,252.22
10.0,4,113.26
26.0,43,264.98
9.0,1,70.14
37.0,28,233.56
8.0,15,119.94
0.0,12,6.51
57.0,13,127.31
40.0,16,156.55
42.0,17,146.14
51.0,16,146.62
42.0,18,157.47
47.0,14,154.1
46.0,18,123.14
38.0,29,158.13
40.0,21,188.14
45.0,10,125.4
37.0,11,280.55
34.0,9,215.31
52.0,6,106.88
36.0,16,173.31
42.0,15,182.38
42.0,10,94.79
35.0,12,178.08
37.0,24,347.88
32.0,23,206.02
34.0,22,258.13
36.0,22,137.44
35.0,6,138.36
46.0,11,108.02
30.0,21,215.11
40.0,17,257.66
40.0,16,95.52
41.0,18,123.01
30.0,21,248.68
43.0,11,282.76
43.0,12,194.45
36.0,20,237.22
38.0,18,268.66
35.0,20,283.25
29.0,32,251.7
30.0,8,125.38
28.0,35,252.84
7.0,31,109.65
25.0,14,131.16
7.0,17,103.5
54.0,11,538.0
48.0,18,483.5
82.0,12,720.0
50.0,9,658.0
49.0,14,525.0
51.0,13,380.0
53.0,8,507.0
47.0,14,789.0
39.0,21,481.0
26.0,17,332.0
50.0,17,368.0
61.0,16,626.0
25.0,2,96.0
7.0,12,67.5
20.0,3,91.74
11.0,1,85.15
44.0,13,155.54
28.0,42,208.55
25.0,34,277.31
28.0,50,233.78
34.0,23,115.53
15.0,53,183.23
37.0,17,277.3
34.0,17,363.2
18.0,33,526.78
36.0,14,137.23
33.0,6,64.44
30.0,14,85.0
25.0,23,141.64
3.0,29,14.88
2.0,24,21.85
34.0,13,203.46
20.0,46,321.47
4.0,21,78.68
24.0,1,47.08
14.0,8,129.55
11.0,1,64.0
7.0,4,35.0
19.0,44,358.67
37.0,20,478.15
39.0,12,181.82
30.0,56,524.56
14.0,26,228.98
11.0,40,232.03
17.0,32,218.36
9.0,29,195.76
31.0,12,154.62
24.0,31,383.96
37.0,25,487.31
8.0,63,206.66
7.0,87,245.31
11.0,38,148.41
33.0,18,199.75
40.0,25,223.5
37.0,35,185.94
40.0,29,230.07
44.0,20,114.94
36.0,52,296.34
35.0,32,300.77
29.0,27,236.36
33.0,38,278.46
37.0,48,240.09
1.0,17,6.67
12.0,32,127.74
42.0,25,314.93
23.0,28,244.9
45.0,15,394.83
34.0,14,574.75
6.0,33,74.08
25.0,45,354.97
15.0,35,234.98
27.0,25,207.07
37.0,7,76.93
40.0,15,143.33
29.0,21,159.71
39.0,7,149.67
38.0,13,151.14
22.0,46,228.33
40.0,13,66.64
47.0,10,82.55
45.0,8,65.7
46.0,9,53.72
44.0,13,156.29
17.0,32,219.9
32.0,35,215.32
1.0,54,22.33
3.0,26,45.72
1.0,62,29.66
1.0,49,45.63
19.0,32,405.57
23.0,20,354.12
15.0,24,238.86
22.0,15,388.18
20.0,28,319.49
22.0,8,269.96
29.0,5,259.03
30.0,5,200.47
33.0,12,235.59
29.0,18,319.33
7.0,25,135.82
28.0,14,425.18
25.0,13,226.31
27.0,20,396.19
21.0,24,421.55
20.0,30,454.23
19.0,19,286.63
22.0,19,417.98
29.0,24,533.93
1.0,23,13.88
17.0,73,280.83
26.0,70,292.64
30.0,71,349.05
19.0,94,263.33
24.0,71,222.5
24.0,30,121.72
23.0,42,185.79
31.0,63,243.27
31.0,41,172.07
20.0,12,95.15
20.0,31,210.45
38.0,16,169.92
24.0,20,175.38
24.0,16,163.21
23.0,15,142.01
0.0,25,5.55
0.0,23,5.3
20.0,13,177.07
13.0,7,203.29
20.0,37,236.97
20.0,74,331.35
17.0,78,473.48
29.0,10,335.03
33.0,10,182.12
10.0,100,224.06
39.0,6,149.54
35.0,14,168.49
29.0,34,308.83
27.0,21,343.52
27.0,8,268.5
26.0,11,410.04
27.0,9,445.94
25.0,9,543.61
27.0,14,750.47
39.0,6,539.72
27.0,17,532.35
9.0,35,304.46
1.0,32,32.15
1.0,41,27.75
30.0,18,336.7
31.0,18,356.96
37.0,12,328.66
32.0,7,425.92
53.0,6,488.01
41.0,9,486.16
33.0,6,219.44
16.0,15,299.57
24.0,2,217.31
15.0,27,285.64
30.0,40,587.47
30.0,25,346.62
22.0,42,451.75
24.0,19,318.19
29.0,17,352.03
16.0,11,234.4
27.0,54,327.38
38.0,45,394.42
20.0,52,195.08
20.0,29,176.25
1.0,56,15.05
10.0,51,105.1
42.0,39,283.75
18.0,92,301.43
41.0,38,305.8
25.0,28,215.4
14.0,34,80.2
36.0,18,198.28
38.0,21,197.9
39.0,22,148.27
43.0,18,227.88
36.0,22,238.43
35.0,31,216.72
31.0,30,242.1
29.0,28,260.94
30.0,31,229.75
31.0,22,182.54
37.0,16,171.42
38.0,18,189.14
33.0,25,194.42
39.0,15,161.0
41.0,12,102.4
30.0,22,137.42
43.0,7,67.8
41.0,9,132.99
40.0,11,166.05
41.0,16,216.21
33.0,18,181.98
41.0,15,197.86
47.0,6,128.97
48.0,2,73.78
38.0,11,219.3
41.0,5,46.3
39.0,9,112.13
1.0,4,8.95
0.0,3,10.09
0.0,8,9.0
1.0,11,9.62
14.0,1,64.91
29.0,6,197.67
27.0,12,206.63
39.0,11,164.5
17.0,10,278.89
18.0,21,388.32
13.0,2,187.97
20.0,45,152.34
43.0,20,266.99
22.0,8,304.61
22.0,4,310.56
22.0,33,131.94
29.0,32,222.0
24.0,62,202.23
5.0,50,48.82
7.0,41,43.12
33.0,37,302.38
27.0,32,373.1
32.0,49,577.2
17.0,58,344.45
50.0,17,191.45
2.0,12,15.55
5.0,15,15.54
2.0,16,18.54
27.0,5,208.22
4.0,9,70.44
39.0,17,326.15
